,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
183,0.1032,tanh,3.29E-06,0.001944572,0.191509364,464,2,1
184,0.1135,tanh,2.25E-06,0.945255372,0.346856392,170,2,1
185,0.7656,tanh,3.37E-07,0.000621029,0.044387249,674,3,1
186,0.196,tanh,2.77E-07,0.172683029,0.244037849,984,4,1
187,0.7198,tanh,6.07E-06,0.000452242,0.024142894,123,2,1
188,0.1135,tanh,1.65E-06,0.01718106,0.006482195,146,4,1
189,0.1032,tanh,6.37E-05,0.000558194,0.561024842,275,2,1
190,0.1135,tanh,1.80E-05,0.094426517,0.036317492,109,2,1
191,0.2753,tanh,1.73E-05,0.00259437,0.074674998,117,4,1
192,0.1135,tanh,5.68E-07,0.639349947,0.047767159,319,4,1
193,0.1135,tanh,1.43E-07,0.1492906,0.45185726,982,4,1
194,0.4098,tanh,3.13E-06,0.002944346,0.096782114,234,2,1
195,0.8082,tanh,4.86E-06,0.000681296,0.023916576,152,4,1
196,0.1028,tanh,7.82E-06,0.033843932,0.120301101,405,2,1
197,0.8575,tanh,3.80E-05,0.000612428,0.01176469,138,3,1
198,0.9399,tanh,6.84E-07,0.000610948,0.005911949,568,3,1
199,0.9372,tanh,2.34E-06,0.000193957,0.004545202,377,3,1
200,0.9295,tanh,3.27E-05,0.000126106,0.005969437,510,4,1
201,0.1135,tanh,1.66E-05,0.00727047,0.407307671,121,4,1
202,0.1135,tanh,1.45E-06,0.013726946,0.00586002,629,3,1
203,0.101,tanh,1.66E-05,0.909112118,0.515224985,102,2,1
204,0.0892,tanh,2.10E-07,0.040295576,0.439535144,685,2,1
205,0.0982,tanh,9.93E-06,0.648961421,0.321303983,568,3,1
206,0.1135,tanh,3.77E-05,0.010206158,0.039849963,666,4,1
207,0.9394,tanh,6.83E-06,0.001222992,0.004488511,582,2,1
208,0.9345,tanh,2.47E-07,0.000761285,0.002707037,246,4,1
209,0.1135,tanh,2.25E-06,0.164695226,0.005688626,876,4,1
210,0.9334,tanh,1.36E-06,0.001025194,0.001036218,831,4,1
211,0.1135,tanh,2.65E-05,0.076900525,0.001499951,212,2,1
212,0.1135,tanh,3.28E-05,0.023482644,0.001897848,960,3,1
213,0.8505,tanh,1.46E-06,0.002212353,0.011093182,286,2,1
214,0.1135,tanh,2.69E-07,0.062661834,0.003923061,694,3,1
215,0.1135,tanh,5.22E-07,0.313593554,0.033073211,132,3,1
216,0.1135,tanh,1.68E-05,0.000604733,0.477313988,569,2,1
217,0.1135,tanh,1.05E-06,0.324755583,0.002385013,152,3,1
218,0.1135,tanh,1.66E-06,0.048216818,0.002193799,171,4,1
219,0.2084,tanh,3.83E-05,0.000223844,0.852891741,110,3,1
220,0.1058,tanh,2.75E-05,0.134885165,0.570710135,669,3,1
221,0.1135,tanh,9.33E-05,0.012491289,0.003306089,212,4,1
222,0.1135,tanh,9.73E-05,0.104398169,0.00556535,204,4,1
223,0.1135,tanh,7.27E-07,0.06586531,0.004040099,750,3,1
224,0.7705,tanh,2.74E-05,0.009279361,0.001598272,886,2,1
225,0.098,tanh,5.13E-06,0.000111108,0.797635657,127,3,1
226,0.9268,tanh,7.77E-07,0.002313058,0.002347982,234,3,1
227,0.9349,tanh,4.43E-07,0.000298104,0.001047755,559,4,1
228,0.1032,tanh,3.18E-06,0.000250395,0.179356522,482,2,1
229,0.1135,tanh,4.79E-06,0.861057665,0.006913246,103,2,1
230,0.5681,tanh,2.39E-07,0.000402992,0.069083567,122,3,1
231,0.1135,tanh,1.54E-07,0.046974246,0.001983902,521,2,1
232,0.1135,tanh,1.05E-07,0.070966789,0.030676944,463,2,1
233,0.0952,tanh,3.68E-05,0.415818604,0.543892449,175,2,1
234,0.1135,tanh,2.20E-05,0.161663654,0.020731631,150,3,1
235,0.0958,tanh,1.48E-07,0.002702255,0.503776386,364,4,1
236,0.2483,tanh,2.19E-06,0.001146508,0.188310171,421,4,1
237,0.9462,tanh,1.47E-05,0.000156968,0.004571282,538,2,1
238,0.8438,tanh,1.63E-07,0.007410988,0.004322824,317,2,1
239,0.098,tanh,3.18E-05,0.000231094,0.415515754,328,4,1
240,0.098,tanh,1.99E-07,0.005393392,0.101605343,183,4,1
241,0.8365,tanh,2.50E-06,0.00136455,0.013029858,166,4,1
242,0.1135,tanh,1.32E-07,0.3228029,0.001426487,540,2,1
243,0.1135,tanh,3.81E-05,0.521241899,0.005579202,214,3,1
244,0.1135,tanh,2.60E-05,0.131799044,0.015307843,393,2,1
245,0.1135,tanh,8.94E-07,0.09626846,0.239320498,538,3,1
246,0.1135,tanh,1.35E-07,0.068793341,0.024554934,166,4,1
247,0.0982,tanh,1.09E-07,0.000873053,0.161967664,402,2,1
248,0.9117,tanh,2.25E-06,0.000133449,0.005252988,129,2,1
249,0.1135,tanh,3.28E-07,0.071115623,0.003607567,298,2,1
250,0.7021,tanh,8.26E-07,0.000143792,0.069015986,339,2,1
251,0.1984,tanh,1.21E-07,0.002129366,0.188301727,148,3,1
252,0.1135,tanh,5.02E-07,0.277953846,0.027527684,349,3,1
253,0.1135,tanh,1.26E-05,0.019936113,0.00118378,150,4,1
254,0.9389,tanh,5.71E-06,0.00016651,0.006342617,749,3,1
255,0.9247,tanh,2.59E-06,0.000157896,0.003523942,242,4,1
256,0.1135,tanh,1.05E-07,0.104084552,0.029652212,549,4,1
257,0.1135,tanh,2.68E-05,0.054164298,0.004908426,889,4,1
258,0.1837,tanh,4.91E-05,0.005772967,0.149104297,267,2,1
259,0.1028,tanh,1.38E-05,0.000455066,0.364385938,221,4,1
260,0.0974,tanh,3.15E-07,0.039766279,0.890043543,748,4,1
261,0.1135,tanh,4.22E-07,0.489077474,0.002873276,435,2,1
262,0.1135,tanh,1.01E-07,0.053713573,0.06414119,106,4,1
263,0.1135,tanh,6.91E-06,0.119752898,0.003284951,206,2,1
264,0.8922,tanh,6.62E-06,0.000206779,0.022357882,794,3,1
265,0.597,tanh,2.92E-07,0.005272645,0.020565008,408,2,1
266,0.9218,tanh,1.00E-06,0.000200876,0.00364312,195,4,1
267,0.1032,tanh,5.38E-07,0.034274449,0.148559575,438,2,1
268,0.2839,tanh,1.81E-05,0.003967112,0.090140205,101,2,1
269,0.9445,tanh,5.72E-07,0.00117702,0.003367497,685,2,1
270,0.0958,tanh,1.15E-06,0.000597802,0.644153073,446,3,1
271,0.1135,tanh,2.82E-06,0.000250623,0.263154652,504,4,1
272,0.8621,tanh,5.60E-05,0.000144834,0.02513357,366,3,1
273,0.1135,tanh,5.48E-06,0.263015521,0.013639273,107,3,1
274,0.102,tanh,2.84E-05,0.004578155,0.245709628,120,3,1
275,0.1135,tanh,6.89E-07,0.015835149,0.003815307,139,3,1
276,0.1032,tanh,8.90E-07,0.00010676,0.861077456,231,2,1
277,0.098,tanh,3.45E-06,0.002967746,0.279072507,763,3,1
278,0.1135,tanh,2.16E-05,0.084158329,0.01639333,188,3,1
279,0.1135,tanh,2.24E-07,0.062817674,0.001016876,430,4,1
280,0.0878,tanh,8.87E-06,0.084105926,0.885776347,303,4,1
281,0.1135,tanh,4.75E-07,0.020523021,0.006873569,101,4,1
282,0.1135,tanh,2.21E-07,0.367208176,0.001087149,767,2,1
283,0.1032,tanh,2.74E-06,0.755749037,0.854340733,493,3,1
284,0.1142,tanh,5.90E-06,0.040048442,0.341942951,288,2,1
285,0.1135,tanh,2.20E-06,0.126532012,0.001033625,221,3,1
286,0.1135,tanh,2.02E-06,0.017522669,0.003411839,537,3,1
287,0.1135,tanh,3.73E-07,0.166762345,0.029641673,344,4,1
288,0.736,tanh,5.38E-06,0.000193189,0.058308903,238,2,1
289,0.1135,tanh,1.99E-07,0.045672256,0.001180602,105,4,1
290,0.3596,tanh,1.46E-06,0.001517203,0.073109155,193,2,1
291,0.1135,tanh,2.30E-05,0.059488279,0.029983673,123,4,1
292,0.1135,tanh,1.17E-06,0.267231362,0.005412792,582,3,1
293,0.1046,tanh,1.05E-07,0.611202348,0.02229776,861,2,1
294,0.9147,tanh,2.29E-07,0.000221388,0.001512457,127,3,1
295,0.1135,tanh,1.27E-05,0.292656534,0.001089353,789,2,1
296,0.1135,tanh,4.70E-05,0.007693658,0.216409886,948,2,1
297,0.1135,tanh,2.03E-06,0.889868294,0.73324049,127,2,1
298,0.424,tanh,4.22E-07,0.000253813,0.088916576,464,4,1
299,0.1135,tanh,1.98E-05,0.049437581,0.062512081,201,2,1
300,0.1135,tanh,3.23E-06,0.198180643,0.001553315,680,3,1
301,0.9213,tanh,2.87E-06,0.00427114,0.001000558,299,2,1
302,0.1135,tanh,8.35E-06,0.219757443,0.003144942,465,2,1
303,0.1135,tanh,7.46E-06,0.099824029,0.009453776,922,3,1
304,0.1135,tanh,2.10E-07,0.755816686,0.003356382,479,4,1
305,0.1135,tanh,7.42E-06,0.008484212,0.001077111,835,4,1
306,0.9481,tanh,3.64E-07,0.000162812,0.002165345,784,4,1
307,0.1135,tanh,8.39E-06,0.086816736,0.027675381,179,3,1
308,0.1135,tanh,3.46E-07,0.027069029,0.00667447,579,2,1
309,0.1135,tanh,3.41E-07,0.065833388,0.001256663,711,2,1
310,0.1135,tanh,6.83E-05,0.015451329,0.029375365,795,3,1
311,0.0953,tanh,4.57E-05,0.711338253,0.114990284,242,3,1
312,0.512,tanh,3.28E-07,0.004550358,0.04031677,166,3,1
313,0.9027,tanh,4.13E-07,0.000113228,0.0096194,585,4,1
314,0.1135,tanh,6.12E-05,0.237742348,0.001265126,788,3,1
315,0.6045,tanh,9.37E-07,0.000587082,0.107348917,420,4,1
316,0.1135,tanh,6.01E-06,0.122491049,0.181033622,999,2,1
317,0.8467,tanh,1.24E-06,0.000162815,0.018370111,236,4,1
318,0.1135,tanh,2.27E-05,0.006312234,0.341409954,100,2,1
319,0.1135,tanh,3.52E-06,0.092526538,0.00263977,138,4,1
320,0.1028,tanh,1.43E-07,0.133404082,0.109218483,120,4,1
321,0.1135,tanh,9.78E-05,0.778068008,0.021769515,600,4,1
