,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
256,0.9077,tanh,1.00E-07,0.001,0.001,100,3,1
257,0.9073,tanh,1.00E-06,0.001,0.001,100,3,1
258,0.9076,tanh,1.00E-05,0.001,0.001,100,3,1
259,0.8979,tanh,0.0001,0.001,0.001,100,3,1
260,0.8218,tanh,1.00E-07,0.001,0.01,100,3,1
261,0.8407,tanh,1.00E-06,0.001,0.01,100,3,1
262,0.8372,tanh,1.00E-05,0.001,0.01,100,3,1
263,0.8969,tanh,0.0001,0.001,0.01,100,3,1
264,0.4978,tanh,1.00E-07,0.001,0.1,100,3,1
265,0.4492,tanh,1.00E-06,0.001,0.1,100,3,1
266,0.2968,tanh,1.00E-05,0.001,0.1,100,3,1
267,0.4763,tanh,0.0001,0.001,0.1,100,3,1
268,0.1009,tanh,1.00E-07,0.001,1,100,3,1
269,0.1028,tanh,1.00E-06,0.001,1,100,3,1
270,0.0892,tanh,1.00E-05,0.001,1,100,3,1
271,0.1028,tanh,0.0001,0.001,1,100,3,1
272,0.9195,tanh,1.00E-07,0.001,0.001,215,3,1
273,0.9181,tanh,1.00E-06,0.001,0.001,215,3,1
274,0.9152,tanh,1.00E-05,0.001,0.001,215,3,1
275,0.9111,tanh,0.0001,0.001,0.001,215,3,1
276,0.8656,tanh,1.00E-07,0.001,0.01,215,3,1
277,0.8711,tanh,1.00E-06,0.001,0.01,215,3,1
278,0.8843,tanh,1.00E-05,0.001,0.01,215,3,1
279,0.9135,tanh,0.0001,0.001,0.01,215,3,1
280,0.4348,tanh,1.00E-07,0.001,0.1,215,3,1
281,0.4818,tanh,1.00E-06,0.001,0.1,215,3,1
282,0.4496,tanh,1.00E-05,0.001,0.1,215,3,1
283,0.6776,tanh,0.0001,0.001,0.1,215,3,1
284,0.0974,tanh,1.00E-07,0.001,1,215,3,1
285,0.101,tanh,1.00E-06,0.001,1,215,3,1
286,0.0974,tanh,1.00E-05,0.001,1,215,3,1
287,0.0982,tanh,0.0001,0.001,1,215,3,1
288,0.9264,tanh,1.00E-07,0.001,0.001,464,3,1
289,0.9303,tanh,1.00E-06,0.001,0.001,464,3,1
290,0.9251,tanh,1.00E-05,0.001,0.001,464,3,1
291,0.9206,tanh,0.0001,0.001,0.001,464,3,1
292,0.8848,tanh,1.00E-07,0.001,0.01,464,3,1
293,0.8948,tanh,1.00E-06,0.001,0.01,464,3,1
294,0.9028,tanh,1.00E-05,0.001,0.01,464,3,1
295,0.9296,tanh,0.0001,0.001,0.01,464,3,1
296,0.4445,tanh,1.00E-07,0.001,0.1,464,3,1
297,0.4706,tanh,1.00E-06,0.001,0.1,464,3,1
298,0.5446,tanh,1.00E-05,0.001,0.1,464,3,1
299,0.5911,tanh,0.0001,0.001,0.1,464,3,1
300,0.1032,tanh,1.00E-07,0.001,1,464,3,1
301,0.1009,tanh,1.00E-06,0.001,1,464,3,1
302,0.1028,tanh,1.00E-05,0.001,1,464,3,1
303,0.1028,tanh,0.0001,0.001,1,464,3,1
304,0.9358,tanh,1.00E-07,0.001,0.001,1000,3,1
305,0.9387,tanh,1.00E-06,0.001,0.001,1000,3,1
306,0.9342,tanh,1.00E-05,0.001,0.001,1000,3,1
307,0.932,tanh,0.0001,0.001,0.001,1000,3,1
308,0.8142,tanh,1.00E-07,0.001,0.01,1000,3,1
309,0.8757,tanh,1.00E-06,0.001,0.01,1000,3,1
310,0.8725,tanh,1.00E-05,0.001,0.01,1000,3,1
311,0.9294,tanh,0.0001,0.001,0.01,1000,3,1
312,0.5931,tanh,1.00E-07,0.001,0.1,1000,3,1
313,0.4889,tanh,1.00E-06,0.001,0.1,1000,3,1
314,0.6126,tanh,1.00E-05,0.001,0.1,1000,3,1
315,0.6676,tanh,0.0001,0.001,0.1,1000,3,1
316,0.0958,tanh,1.00E-07,0.001,1,1000,3,1
317,0.098,tanh,1.00E-06,0.001,1,1000,3,1
318,0.098,tanh,1.00E-05,0.001,1,1000,3,1
319,0.1009,tanh,0.0001,0.001,1,1000,3,1
320,0.9086,tanh,1.00E-07,0.001,0.001,100,4,1
321,0.9061,tanh,1.00E-06,0.001,0.001,100,4,1
322,0.9067,tanh,1.00E-05,0.001,0.001,100,4,1
323,0.8987,tanh,0.0001,0.001,0.001,100,4,1
324,0.8519,tanh,1.00E-07,0.001,0.01,100,4,1
325,0.8232,tanh,1.00E-06,0.001,0.01,100,4,1
326,0.836,tanh,1.00E-05,0.001,0.01,100,4,1
327,0.8812,tanh,0.0001,0.001,0.01,100,4,1
328,0.4084,tanh,1.00E-07,0.001,0.1,100,4,1
329,0.4026,tanh,1.00E-06,0.001,0.1,100,4,1
330,0.3957,tanh,1.00E-05,0.001,0.1,100,4,1
331,0.5039,tanh,0.0001,0.001,0.1,100,4,1
332,0.0958,tanh,1.00E-07,0.001,1,100,4,1
333,0.0892,tanh,1.00E-06,0.001,1,100,4,1
334,0.0892,tanh,1.00E-05,0.001,1,100,4,1
335,0.0958,tanh,0.0001,0.001,1,100,4,1
336,0.9218,tanh,1.00E-07,0.001,0.001,215,4,1
337,0.9223,tanh,1.00E-06,0.001,0.001,215,4,1
338,0.9169,tanh,1.00E-05,0.001,0.001,215,4,1
339,0.9107,tanh,0.0001,0.001,0.001,215,4,1
340,0.881,tanh,1.00E-07,0.001,0.01,215,4,1
341,0.8655,tanh,1.00E-06,0.001,0.01,215,4,1
342,0.8909,tanh,1.00E-05,0.001,0.01,215,4,1
343,0.9109,tanh,0.0001,0.001,0.01,215,4,1
344,0.4664,tanh,1.00E-07,0.001,0.1,215,4,1
345,0.3508,tanh,1.00E-06,0.001,0.1,215,4,1
346,0.4188,tanh,1.00E-05,0.001,0.1,215,4,1
347,0.6475,tanh,0.0001,0.001,0.1,215,4,1
348,0.0958,tanh,1.00E-07,0.001,1,215,4,1
349,0.1028,tanh,1.00E-06,0.001,1,215,4,1
